규격,도수,전통주명,제조사,주원료
375ml,13,송이주,내국양조,"국내산 쌀, 송이농축액, 누룩, 정제수"
375ml,13,능이주,내국양조,"국내산 쌀, 능이농축액, 누룩, 정제수"
375ml,20,별,내국양조,"올벼찹쌀, 누룩, 효모, 젖산, 정제수"
375ml,45,하늘,내국양조,"보리, 증류식소주원액, 조제종국, 정제수, 젖산, 효모, 구연산, 오크칩"
375ml,20,바람,내국양조,"쌀, 증류식소주원액,정제주정, 정제수, 구연산"
375ml,13,시,내국양조,"딸기, 설탕 효모, 구연산, 포도당, 오크칩"
750ml,6,줄포 생막걸리,내변산(동진주조),국내산 쌀
500ml,15,맑은술 해밀,내변산양조장,"쌀, 누룩, 정제수"
500ml,9,담진주,내올담 양조장,"경기미, 정제수, 우리밀누룩"
"경기미, 정제수, 우리밀누룩",12,담골드,내올담 양조장,500ml
700ml,16,내장산 복분자주 지통1호,내장산 복분자 영농조합,"복분자, 주정, 정제수, 설탕 등"
360ml,16,복분자주 360,내장산 복분자 영농조합,"복분자, 주정, 정제수, 설탕 등"
700ml,18,노미,내촌주조,"국내산 찹쌀, 국내산 쌀"
375ml,8.5,너브내스파클링사과와인,너브내와이너리,"사과, 배, 효모, 설탕, 아황산, 수크랄로스, 자일리톨"
750ml,12,끌로너와 스위트와인,너와마을영동조합,머루
"375ml, 500ml",15,일지춘,노금주가,"철원오대쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀), 정제수"
500ml,8,고흥유자주 봄에디션,녹동양조장,"쌀, 입국, 누룩, 유자, 원당"
500ml,41,녹천 소곡화주 500ml,녹천주조장,"찹쌀, 누룩, 백미, 정제수"
480ml,41,녹천 소곡화주 480ml,녹천주조장,"찹쌀, 누룩, 백미 , 정제수"
375ml,38,일엽편주,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유"
750ml,12,일엽편주,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유"
